crop_sub_type,group,new_gs,mean_gs,relative_gs
COMMON,1000,60.74554072687876,60.90317958091726,0.9974116482074789
COMMON,1250,76.31818181818181,74.12519640852975,1.0295848849771103
COMMON,1500,84.03425559947298,82.26907285414532,1.021456212937481
COMMON,1750,88.3076923076923,87.26352575995433,1.0119656699479491
DURUM,1000,60.68944444444445,60.90317958091726,0.9964905750743467
DURUM,1250,74.30740740740741,74.12519640852975,1.0024581519875297
DURUM,1500,82.38962962962962,82.26907285414532,1.0014653960632087
DURUM,1750,88.32931354359926,87.26352575995433,1.012213439399374
TRITICALE,1000,61.27455357142857,60.90317958091726,1.0060977767181742
TRITICALE,1250,71.75,74.12519640852975,0.9679569630353596
TRITICALE,1500,80.38333333333334,82.26907285414532,0.9770783909993103
TRITICALE,1750,85.15357142857142,87.26352575995433,0.9758208906526766
