variety_name,label,crop_sub_type,crop_classification,sd,amount,forage
1047,ISHI,BARLEY,6RSF,6.02185196688784,40.572,FALSE
112,YECORA ROJO,COMMON,HRS,4.69680049063981,42.2018620438542,FALSE
1134,TAMALPAIS,BARLEY,6RSN,5.83405005120799,36.96,FALSE
1210,DPG PLATINUM,DURUM,DURUM,3.278719262151,42.5,FALSE
1215,WB ORITA,DURUM,DURUM,5.3519021985512,53.1428571428571,FALSE
1355,SCHALLER,BARLEY,6RSF(H),1.70606236976362,40.4778571428571,TRUE
1360,UC BUTTA 12,BARLEY,2RSM,2.85976508889043,45.2681818181818,FALSE
1375,UC DESERT KING,DURUM,DURUM,6.29728733485916,49.8294444444444,FALSE
1390,UC CAPAY,BARLEY,2RSM,4.42030053482588,49.9877272727273,FALSE
1409,UC TAHOE,BARLEY,2RSM,2.39634930675809,37.468,FALSE
1414,LCS GENIE,BARLEY,2RSM,6.22015577202715,37.2371212121212,FALSE
1415,LCS ODYSSEY,BARLEY,2RSM,6.2249535595201,37.0672727272727,FALSE
1429,SY FORTISSIMO,DURUM,DURUM,4.45302926588829,44.40875,FALSE
1431,SY VOLANTE,DURUM,DURUM,6.26148544676099,52.865,FALSE
1478,SY CAL ROJO,COMMON,HRS,7.66301304718043,39.4944092041667,FALSE
1484,WESTMORE HP,DURUM,DURUM,4.51320812937401,40.9285714285714,FALSE
1495,UC LASSIK,COMMON,HRS,4.65821996577963,34.0389541875,FALSE
1550,WB TRIPLE IV,COMMON,HRS,3.09377254681539,41.5,TRUE
1582,AS MAESTRALE,DURUM,DURUM,4.15735342495678,45.8816666666667,FALSE
1583,AS SARAGOLLA,DURUM,DURUM,4.86813926065293,46.5788888888889,FALSE
1607,WB MEAD,DURUM,DURUM,6.20099838351704,47.0714285714286,FALSE
1608,DPG FV 2808,COMMON,HRS,2.17021230034562,40.3125,TRUE
1627,UC DESERT KING HP,DURUM,DURUM,3.82163332228506,43.0866666666667,FALSE
1640,TIBURON,DURUM,DURUM,4.52256019246228,55.9177777777778,FALSE
1654,WB MOHAVE,DURUM,DURUM,5.07327263589246,49.2142857142857,FALSE
1657,SY BLANCA GRANDE 515,COMMON,HWS,4.86250269177675,39.8370833333333,FALSE
1658,SY SUMMIT 515,COMMON,HRS,4.29123217142301,38.0209540837847,FALSE
1667,BAG NEW DIRKWIN,COMMON,SWS,4.45956855310491,35.7530434782609,TRUE
1680,UC PATWIN 515,COMMON,HWS,5.69521965262865,36.669679208,FALSE
1688,LCS STAR,COMMON,HWS,6.04904199778023,31.0909090909091,FALSE
1690,UC MIWOK,DURUM,DURUM,7.21507411219345,55.1172222222222,FALSE
1723,LCS ATOMO,COMMON,HWS,4.77842372894382,37.5833333333333,FALSE
1728,WB JOAQUIN ORO,COMMON,HRS,4.8743647116711,40.2370192517391,FALSE
1730,WB 9229,COMMON,HRS,5.62823561777867,37.2089721393333,FALSE
1731,WB PATRON,COMMON,HRS,4.66658769257848,39.4944497512,TRUE
1743,UC PATWIN 515 HP,COMMON,HWS,5.24980180658103,34.1330959783333,FALSE
1745,UC YUROK,COMMON,HRS,5.5247189539313,37.5160416666667,FALSE
1748,WB 9112,COMMON,HRS,3.76726793476489,33.7307692307692,FALSE
1751,WB 9904,COMMON,HRS,7.2980880531549,42.2002272727273,TRUE
1800,AS COLOMBO,DURUM,DURUM,6.12128141087396,45.3061111111111,FALSE
1802,WB 7566,COMMON,HWS,7.51430260168857,37.8846153846154,FALSE
1813,ALBERTO,DURUM,DURUM,5.37359813760246,49.2572222222222,FALSE
1815,UC CENTRAL WHITE,COMMON,HWS,6.02417848927039,37.5852941176471,FALSE
1817,UC CENTRAL RED,COMMON,HRS,4.72679551422876,37.273,FALSE
1835,SY SIENNA,COMMON,HRS,6.21744617276513,43.0760416666667,TRUE
1842,WB 9350,COMMON,HRS,6.02865962234602,38.35,FALSE
1850,UC DESERT GOLD,DURUM,DURUM,5.08741591522102,47.5377777777778,FALSE
1858,CDC COPELAND,BARLEY,2RSM,6.35333307497855,35.9737878787879,FALSE
1859,ACC SYNERGY,BARLEY,2RSM,5.53513427017705,39.1735,FALSE
1868,POWELL,DURUM,DURUM,5.66946709513841,53.3571428571429,FALSE
1869,SHASTA,DURUM,DURUM,6.39475231286225,58.1428571428571,FALSE
1877,AP VENOM,COMMON,HRS,6.22264013502309,36.5676,TRUE
1878,AP OCTANE,COMMON,HRS,6.14114330749483,41.2070833333333,TRUE
1887,WB 9490,COMMON,HRS,5.51099379709131,39.85,TRUE
1888,WB 9699,COMMON,HRS,4.66335856733878,42.5419346536,TRUE
3169,NS TRICAL 158EP,TRITICALE,TRITICALE,6.36902090377536,37.435,TRUE
3170,NS TRICAL 115T,TRITICALE,TRITICALE,6.59204003687977,37.54625,TRUE
3178,NS GOLD RUSH 91,TRITICALE,TRITICALE,5.43141523330893,42.7859687672222,TRUE
3188,NS SWIFT 77,TRITICALE,TRITICALE,4.34835877728394,45.6329270316667,TRUE
951,KRONOS,DURUM,DURUM,7.08519583356734,53.5,FALSE
